command, argument, x, y, z, comment,,,,,
BACKHOME,,0,400,0,this lets you move the head out of the way for easy access to samples,,,,,
ABOVEDILUTION,,118.5,25.5,0,this hovers the needle over the dilution gas port,,,,,
DILUTION,,118.3,25.5,25,puts needle in dilution gas septum,,,,,
ABOVEGCINJECTION,,69.5,25.5,0,shimadzu injeciton port,,,,,
GCINJECTION,,69.5,25.5,29,shimadzu injeciton port,,,,,
PICARROINJECTION,,0,0,0,picarro injection port,,,,,
CARRIERINJECTION,,0,0,0,carrier gas stream injection port,,,,,
SAMPLE,0,0,500,0,dummy sample number for testing,,,,,
SAMPLE,1001,1,82.5,65,,,0,1.8,,
SAMPLE,1002,22.8,84,65,,,21.86,23.55,,
SAMPLE,1003,44.6,84,65,,,43.72,45.3,,
SAMPLE,1004,66.4,84,65,,,65.58,67.05,,
SAMPLE,1005,88.2,84,65,,,87.44,88.8,,
SAMPLE,1006,110,84,65,,,109.3,110.55,,
SAMPLE,1007,131.8,84,65,,,131.16,132.3,,
SAMPLE,1008,153.6,84,65,,,153.02,154.05,,
SAMPLE,1009,175.4,84,65,,,174.88,175.8,,
SAMPLE,1010,197.2,84,65,,,196.74,197.55,,
SAMPLE,1011,219,84,65,,,218.6,219.3,,
SAMPLE,1012,240.8,84,65,,,240.46,241.05,,
SAMPLE,1013,0,104.3,65,,,,,,
SAMPLE,1014,21.86,104.3,65,,,,,,
SAMPLE,1015,43.72,104.3,65,,,,,,
SAMPLE,1016,65.58,104.3,65,,,,,,
SAMPLE,1017,87.44,104.3,65,,,,,,
SAMPLE,1018,109.3,104.3,65,,,,,,21.74545455
SAMPLE,1019,131.16,104.3,65,,,,,,
SAMPLE,1020,153.02,104.3,65,,,,,,
SAMPLE,1021,174.88,104.3,65,,,,,,
SAMPLE,1022,196.74,104.3,65,,,,,,21.81818182
SAMPLE,1023,218.6,104.3,65,,,,,,
SAMPLE,1024,240.46,104.3,65,,,,,,
SAMPLE,1025,0,126.6,65,,,,,,
SAMPLE,1026,21.86,126.6,65,,,,,,
SAMPLE,1027,43.72,126.6,65,,,,,,
SAMPLE,1028,65.58,126.6,65,,,,,,
SAMPLE,1029,87.44,126.6,65,,,,,,
SAMPLE,1030,109.3,126.6,65,,,,,,
SAMPLE,1031,131.16,126.6,65,,,,,,
SAMPLE,1032,153.02,126.6,65,,,,,,
SAMPLE,1033,174.88,126.6,65,,,,,,
SAMPLE,1034,196.74,126.6,65,,,,,,
SAMPLE,1035,218.6,126.6,65,,,,,,
SAMPLE,1036,240.46,126.6,65,,,,,,
SAMPLE,1037,0,149,65,,,,,,
SAMPLE,1038,21.86,149,65,,,,,,
SAMPLE,1039,43.72,149,65,,,,,,
SAMPLE,1040,65.58,149,65,,,,,,
SAMPLE,1041,87.44,149,65,,,,,,
SAMPLE,1042,109.3,149,65,,,,,,
SAMPLE,1043,131.16,149,65,,,,,,
SAMPLE,1044,153.02,149,65,,,,,,
SAMPLE,1045,174.88,149,65,,,,,,
SAMPLE,1046,196.74,149,65,,,,,,
SAMPLE,1047,218.6,149,65,,,,,,
SAMPLE,1048,240.46,149,65,,,,,,
